path	status code	hunks	area	disposition
desktop/src/features/channels/ui/ChannelPane.tsx	UU	6	desktop-other	ported
desktop/src/features/channels/ui/ChannelScreen.tsx	UU	7	desktop-other	ported
desktop/src/features/local-archive/archiveSyncManager.test.mjs	UD	0	desktop-other	accepted-fork
desktop/src/features/local-archive/archiveSyncManager.ts	UD	0	desktop-other	accepted-fork
desktop/src/features/messages/hooks.ts	UU	8	desktop-other	ported
desktop/src/features/messages/lib/useMentions.ts	UU	10	desktop-other	ported
desktop/src/features/messages/ui/MessageComposer.tsx	UU	9	desktop-other	ported
desktop/src/features/messages/ui/submitMessageEdit.ts	UU	9	desktop-other	accepted-fork
desktop/src/features/messages/ui/useMentionSendFlow.ts	UU	10	desktop-other	ported
desktop/src/features/projects/hooks.ts	UU	7	desktop-other	ported
desktop/src/features/projects/ui/ProjectDetailScreen.tsx	UU	10	desktop-other	ported
desktop/src/features/projects/ui/ProjectIssuesPanel.tsx	UU	9	desktop-other	accepted-fork
desktop/src/features/projects/ui/ProjectsView.tsx	UU	6	desktop-other	ported
desktop/src/features/pulse/hooks.ts	UU	11	desktop-other	accepted-upstream
desktop/src/features/sidebar/ui/AppSidebar.types.ts	UU	6	desktop-other	accepted-upstream
desktop/src/features/workflows/ui/WorkflowDialog.tsx	UU	6	desktop-other	accepted-fork
desktop/src/shared/api/relayReconnectReplay.test.mjs	UU	19	desktop-other	accepted-upstream
desktop/src/shared/api/relayReconnectReplay.ts	UU	8	desktop-other	accepted-upstream
desktop/src/shared/ui/markdown.tsx	UU	6	desktop-other	accepted-fork
desktop/src/testing/e2eBridge.ts	UU	12	desktop-other	ported
desktop/tests/e2e/agents.spec.ts	UU	9	desktop-other	accepted-fork
desktop/tests/e2e/mentions.spec.ts	UU	13	desktop-other	accepted-fork
desktop/tests/e2e/persistent-agent-audience.spec.ts	UU	7	desktop-other	accepted-fork
desktop/tests/e2e/workflows.spec.ts	UU	9	desktop-other	accepted-fork
docs/push-gateway-deployment.md	UU	7	root-and-ci	ported
schema/schema.sql	UU	13	migrations	ported
scripts/reconcile-schema-after-pgschema.sql	UU	8	root-and-ci	ported
